concept:bird:loons	bird : loons
concept:visualizablething:low_cost_water	visualizable thing : low cost water
concept:sportsteamposition:catcher	sports team position : catcher
concept:river:rh_ne	river : rh ne
concept:coach:washington_huskies	coach : washington huskies
concept:disease:allergies	disease : allergies
concept:country:turkey	country : turkey
concept:stadiumoreventvenue:molson_centre	stadium or event venue : molson centre
concept:city:fort_mill	city : fort mill
concept:chemical:pollutants	chemical : pollutants
concept:university:depaul	university : depaul
concept:city:norco	city : norco
concept:animal:fowls	animal : fowls
concept:city:harbor_city	city : harbor city
concept:city:mililani	city : mililani
concept:year:_99	year :  99
concept:stadiumoreventvenue:texas_stadium	stadium or event venue : texas stadium
concept:animal:voles001	animal : voles001
concept:fish:hammerhead_sharks	fish : hammerhead sharks
concept:chemical:atoms	chemical : atoms
concept:city:rancho_cucamonga	city : rancho cucamonga
concept:stadiumoreventvenue:scheumann_stadium	stadium or event venue : scheumann stadium
concept:coach:bob_knight	coach : bob knight
concept:sportsteam:state_university	sports team : state university
concept:sportsteam:utes	sports team : utes
concept:organization:indian	organization : indian
concept:politicalparty:dems	political party : dems
concept:visualizablething:ambient_air	visualizable thing : ambient air
concept:country:nepal	country : nepal
concept:invertebrate:egrets	invertebrate : egrets
concept:televisionstation:wbcc_tv	television station : wbcc tv
concept:artery:vessel_walls	artery : vessel walls
concept:plant:shrub	plant : shrub
concept:newspaper:msnbc_com	newspaper : msnbc com
concept:website:beauty	website : beauty
concept:city:brentwood	city : brentwood
concept:grain:texture	grain : texture
concept:disease:heart_disorders	disease : heart disorders
concept:product:apple_tv	product : apple tv
concept:politicianus:martin_luther_king	politician us : martin luther king
concept:country:eritrea	country : eritrea
concept:blog:consumer_reports	blog : consumer reports
concept:website:asian	website : asian
concept:room:business_center	room : business center
concept:beach:vermont	beach : vermont
concept:animal:orcas	animal : orcas
concept:stadiumoreventvenue:epicenter	stadium or event venue : epicenter
concept:visualizableobject:world	visualizable object : world
concept:city:layton	city : layton
concept:company:disney	company : disney
concept:animal:head	animal : head
concept:city:arlington_heights	city : arlington heights
concept:food:zooplankton	food : zooplankton
concept:nongovorganization:gop	nongov organization : gop
concept:vertebrate:young_birds	vertebrate : young birds
concept:stadiumoreventvenue:home_depot_center	stadium or event venue : home depot center
concept:physicsterm:gravity	physics term : gravity
concept:vegetable:red_onion	vegetable : red onion
concept:weatherphenomenon:analysis	weather phenomenon : analysis
concept:chemical:end_products	chemical : end products
concept:condiment:white_sauce	condiment : white sauce
concept:stateorprovince:elblag	state or province : elblag
concept:city:costa_rica	city : costa rica
concept:vegetable:brown_rice	vegetable : brown rice
concept:skyscraper:moore_theatre	skyscraper : moore theatre
concept:mammal:big_game_animals	mammal : big game animals
concept:musicsong:salina	music song : salina
concept:beverage:internal_water	beverage : internal water
concept:personus:fred_mcgriff	personus : fred mcgriff
concept:food:red_berries	food : red berries
concept:city:saginaw	city : saginaw
concept:website:kavu_tv	website : kavu tv
concept:sportsteam:oakland_university	sports team : oakland university
concept:city:neighborhoods	city : neighborhoods
concept:plant:lime_trees	plant : lime trees
concept:mammal:domestic_pets	mammal : domestic pets
concept:university:iu	university : iu
concept:coach:tom_coughlin	coach : tom coughlin
concept:vegetable:wheat	vegetable : wheat
concept:city:meriden	city : meriden
concept:coach:chizik	coach : chizik
concept:insect:caddisfly	insect : caddisfly
concept:stadiumoreventvenue:madison_square_garden	stadium or event venue : madison square garden
concept:visualizablescene:northwest	visualizable scene : northwest
concept:chemical:slovenia	chemical : slovenia
concept:chemical:fluorine	chemical : fluorine
concept:sportsteam:man_utd	sports team : man utd
concept:person:toomas_hendrik_ilves	person : toomas hendrik ilves
concept:country:east_european_countries	country : east european countries
concept:bird:finches	bird : finches
concept:condiment:butter_sauce	condiment : butter sauce
concept:geopoliticallocation:western_canada	geopolitical location : western canada
concept:city:edmonton	city : edmonton
concept:coach:beilein	coach : beilein
concept:coach:kirk_ferentz	coach : kirk ferentz
concept:televisionstation:wlae_tv	television station : wlae tv
concept:awardtrophytournament:hungary	award trophy tournament : hungary
concept:food:chips	food : chips
concept:televisionstation:wfwa	television station : wfwa
concept:reptile:tree_frog	reptile : tree frog
concept:coach:michel_therrien	coach : michel therrien
concept:river:mahoning	river : mahoning
concept:sportsteam:northern_arizona_lumberjacks	sports team : northern arizona lumberjacks
concept:island:venezuela	island : venezuela
concept:stadiumoreventvenue:kinnick_stadium	stadium or event venue : kinnick stadium
concept:profession:step	profession : step
concept:magazine:fedex	magazine : fedex
concept:chemical:simple_molecules	chemical : simple molecules
concept:televisionstation:ktci_tv	television station : ktci tv
concept:food:cheeseburger	food : cheeseburger
concept:coach:barry_alvarez	coach : barry alvarez
concept:buildingmaterial:drainage	building material : drainage
concept:book:alliance	book : alliance
concept:ceo:scott_mcnealy	ceo : scott mcnealy
concept:physiologicalcondition:anomalies	physiological condition : anomalies
concept:stadiumoreventvenue:paul_brown_stadium	stadium or event venue : paul brown stadium
concept:drug:folic_acid	drug : folic acid
concept:chemical:waste_materials	chemical : waste materials
concept:visualizablething:beta_carotene	visualizable thing : beta carotene
concept:city:bosque_farms	city : bosque farms
concept:monument:dusk	monument : dusk
concept:website:province	website : province
concept:island:investment	island : investment
concept:coach:tressel	coach : tressel
concept:coach:houston_nutt	coach : houston nutt
concept:televisionstation:kbme_tv	television station : kbme tv
concept:sportsteam:texas_rangers	sports team : texas rangers
concept:book:electricity	book : electricity
concept:reptile:female_turtle	reptile : female turtle
concept:politician:boris_johnson	politician : boris johnson
concept:televisionstation:klpb_tv	television station : klpb tv
concept:sportsequipment:net	sports equipment : net
concept:personmexico:carlos_santana001	person mexico : carlos santana001
concept:chemical:bicarbonate	chemical : bicarbonate
concept:eventoutcome:basis	event outcome : basis
concept:braintissue:stress	brain tissue : stress
concept:geopoliticallocation:specialty	geopolitical location : specialty
concept:city:anza	city : anza
concept:museum:marvel	museum : marvel
concept:city:sausalito	city : sausalito
concept:condiment:onion_marmalade	condiment : onion marmalade
concept:disease:high_blood_pressure	disease : high blood pressure
concept:plant:sequoia	plant : sequoia
concept:bodypart:viscera	bodypart : viscera
concept:coach:chan_gailey	coach : chan gailey
concept:professor:john_l__smith	professor : john l  smith
concept:visualizablething:calgary	visualizable thing : calgary
concept:city:vegas_casino	city : vegas casino
concept:landscapefeatures:plateau	landscape features : plateau
concept:disease:coronary_artery_disease	disease : coronary artery disease
concept:profession:psychiatrists	profession : psychiatrists
concept:skiarea:french_gulch	ski area : french gulch
concept:website:platform	website : platform
concept:fish:walleye	fish : walleye
concept:newspaper:packet	newspaper : packet
concept:island:american_samoa	island : american samoa
concept:sportsteam:bolton_wanderers	sports team : bolton wanderers
concept:videogame:mac	video game : mac
concept:stateorprovince:durango	state or province : durango
concept:website:bangladesh	website : bangladesh
concept:coach:rex_ryan	coach : rex ryan
concept:animal:ravens	animal : ravens
concept:agriculturalproduct:cloves	agricultural product : cloves
concept:county:youth	county : youth
concept:profession:mediators	profession : mediators
concept:fruit:mangos	fruit : mangos
concept:city:palm_springs	city : palm springs
concept:artery:carotid	artery : carotid
concept:invertebrate:cranes	invertebrate : cranes
concept:chemical:decomposition	chemical : decomposition
concept:country:scotland	country : scotland
concept:profession:real_estate_professionals	profession : real estate professionals
concept:coach:mike_stoops	coach : mike stoops
concept:river:similkameen	river : similkameen
concept:bodypart:hair_follicles	bodypart : hair follicles
concept:disease:post_traumatic_stress_disorder	disease : post traumatic stress disorder
concept:tableitem:clicking	table item : clicking
concept:stadiumoreventvenue:clowes_memorial_hall	stadium or event venue : clowes memorial hall
concept:sportsteam:brooklyn_dodgers	sports team : brooklyn dodgers
concept:bedroomitem:system	bedroom item : system
concept:stadiumoreventvenue:jarry_park	stadium or event venue : jarry park
concept:landscapefeatures:fields	landscape features : fields
concept:chemical:nitrogen_compounds	chemical : nitrogen compounds
concept:book:transit	book : transit
concept:dateliteral:n1932	date literal : n1932
concept:chemical:cement	chemical : cement
concept:lake:pacific_ocean	lake : pacific ocean
concept:sportsteam:coastal_carolina_chanticleers	sports team : coastal carolina chanticleers
concept:arachnid:scorpions	arachnid : scorpions
concept:sportsteam:florida_state_seminoles	sports team : florida state seminoles
concept:mammal:antelope	mammal : antelope
concept:mammal:killer_whales	mammal : killer whales
concept:newspaper:times	newspaper : times
concept:braintissue:spinal_cord	brain tissue : spinal cord
concept:chemical:chemical_pollutants	chemical : chemical pollutants
concept:software:office_excel	software : office excel
concept:sportsteam:nc_state	sports team : nc state
concept:food:salsa_verde	food : salsa verde
concept:agent:project	agent : project
concept:country:namibia	country : namibia
concept:city:stub	city : stub
concept:politicalparty:other_countries	political party : other countries
concept:sport:tennis	sport : tennis
concept:disease:aids_epidemic	disease : aids epidemic
concept:city:santa_barbara_de_nexe	city : santa barbara de nexe
concept:blog:franklin_field	blog : franklin field
concept:stadiumoreventvenue:michigan_stadium	stadium or event venue : michigan stadium
concept:sportsteam:colorado_college	sports team : colorado college
concept:animal:organisms	animal : organisms
concept:protein:ingredients	protein : ingredients
concept:landscapefeatures:landscapes	landscape features : landscapes
concept:food:capers	food : capers
concept:city:brea	city : brea
concept:date:new_year	date : new year
concept:airport:north_america	airport : north america
concept:city:carmel_valley	city : carmel valley
concept:buildingfeature:sections	building feature : sections
concept:disease:tourette	disease : tourette
concept:country:finland	country : finland
concept:transportation:exchanges	transportation : exchanges
concept:university:rutgers	university : rutgers
concept:visualizablething:waste_water	visualizable thing : waste water
concept:personasia:site	person asia : site
concept:fish:striped_bass	fish : striped bass
concept:meat:beef_tenderloin	meat : beef tenderloin
concept:braintissue:thyroid_gland	brain tissue : thyroid gland
concept:person:holmoe	person : holmoe
concept:river:elbow_river	river : elbow river
concept:videogamesystem:macintosh	video game system : macintosh
concept:city:natchitoches	city : natchitoches
concept:sportsteam:washington_state_university	sports team : washington state university
concept:museum:factory	museum : factory
concept:city:arcola	city : arcola
concept:automobilemaker:gm	automobile maker : gm
concept:disease:syndrome	disease : syndrome
concept:company:compuserve	company : compuserve
concept:sportsgame:leaders	sportsgame : leaders
concept:company:oracle	company : oracle
concept:food:upper_leaf_surface	food : upper leaf surface
concept:chemical:methanol	chemical : methanol
concept:geopoliticallocation:golden	geopolitical location : golden
concept:plant:papaya	plant : papaya
concept:animal:pet	animal : pet
concept:city:texas	city : texas
concept:academicfield:media	academic field : media
concept:sportsteam:liverpool	sports team : liverpool
concept:geopoliticallocation:carolinas	geopolitical location : carolinas
concept:profession:industry_professionals	profession : industry professionals
concept:attraction:statue_of_liberty001	attraction : statue of liberty001
concept:sportsteam:byu_hawaii	sports team : byu hawaii
concept:crustacean:prawns	crustacean : prawns
concept:sportsgame:million_years	sportsgame : million years
concept:sport:hockey	sport : hockey
concept:software:quicktime_player	software : quicktime player
concept:personmexico:bruce_pearl	person mexico : bruce pearl
concept:writer:selection	writer : selection
concept:trainstation:corona	trainstation : corona
concept:arthropod:clams	arthropod : clams
concept:sportsteam:new_orleans_hornets	sports team : new orleans hornets
concept:awardtrophytournament:american_league_pennant	award trophy tournament : american league pennant
concept:mammal:oryx	mammal : oryx
concept:amphibian:aquatic_larvae	amphibian : aquatic larvae
concept:city:caracas	city : caracas
concept:port:portable_air	port : portable air
concept:chemical:methane_levels	chemical : methane levels
concept:televisionstation:wkha	television station : wkha
concept:televisionstation:kacv_tv	television station : kacv tv
concept:country:zaire	country : zaire
concept:televisionstation:ktuu	television station : ktuu
concept:charactertrait:attempt	character trait : attempt
concept:museum:locus	museum : locus
concept:condiment:tomatillo_sauce	condiment : tomatillo sauce
concept:weatherphenomenon:days	weather phenomenon : days
concept:airport:europe	airport : europe
concept:jobposition:deputy_assistant_to_the_president	job position : deputy assistant to the president
concept:coach:nate_mcmillan	coach : nate mcmillan
concept:city:new_bedford	city : new bedford
concept:disease:scoliosis	disease : scoliosis
concept:televisionstation:kxas	television station : kxas
concept:hobby:studio	hobby : studio
concept:academicfield:sports	academic field : sports
concept:sportsteam:los_angeles_raiders	sports team : los angeles raiders
concept:coach:manny_diaz	coach : manny diaz
concept:skiarea:big_draw	ski area : big draw
concept:criminal:searches	criminal : searches
concept:trainstation:cypress	trainstation : cypress
concept:website:witn_tv	website : witn tv
concept:street:center_stage	street : center stage
concept:room:kent	room : kent
concept:stateorprovince:lubuskie	state or province : lubuskie
concept:televisionstation:wswp_tv	television station : wswp tv
concept:trail:saint_elmo	trail : saint elmo
concept:disease:hiv_aids	disease : hiv aids
concept:politicianus:hillary_clinton	politician us : hillary clinton
concept:televisionstation:wunp_tv	television station : wunp tv
concept:athlete:rich_rodriguez	athlete : rich rodriguez
concept:stateorprovince:ohio	state or province : ohio
concept:crimeorcharge:law	crime or charge : law
concept:person:government	person : government
concept:recordlabel:southern	record label : southern
concept:stateorprovince:contrast	state or province : contrast
concept:sportsteam:st___louis_blues	sports team : st   louis blues
concept:coach:bruce_weber	coach : bruce weber
concept:sportsteam:zags	sports team : zags
concept:sportsteam:benfica	sports team : benfica
concept:fungus:seawater	fungus : seawater
concept:coach:tom_izzo	coach : tom izzo
concept:plant:almond	plant : almond
concept:sportsteam:last_time_the_cubs	sports team : last time the cubs
concept:country:ukraine	country : ukraine
concept:country:representative	country : representative
concept:disease:prostate_cancer	disease : prostate cancer
concept:magazine:discovery	magazine : discovery
concept:stateorprovince:lodzkie	state or province : lodzkie
concept:weatherphenomenon:locations	weather phenomenon : locations
concept:city:charleroi	city : charleroi
concept:plant:beautiful_moss	plant : beautiful moss
concept:country:ghana	country : ghana
concept:city:coffs_harbour	city : coffs harbour
concept:chemical:sulfuric_acid	chemical : sulfuric acid
concept:city:ottawa	city : ottawa
concept:legume:rice	legume : rice
concept:coach:new_orleans_saints	coach : new orleans saints
concept:country:united_republic_of_tanzania	country : united republic of tanzania
concept:sportsleague:western_conference	sports league : western conference
concept:company:live	company : live
concept:weatherphenomenon:water	weather phenomenon : water
concept:geometricshape:lengths	geometric shape : lengths
concept:governmentorganization:administrator	government organization : administrator
concept:vehicle:west_coast	vehicle : west coast
concept:personaustralia:derek_jeter	person australia : derek jeter
concept:artery:process	artery : process
concept:musicalbum:two_years	music album : two years
concept:plant:kapok	plant : kapok
concept:agriculturalproduct:bean_sprouts	agricultural product : bean sprouts
concept:city:brisbane	city : brisbane
concept:sportsequipment:new	sports equipment : new
concept:visualizablething:stuff	visualizable thing : stuff
concept:geopoliticallocation:european_nations	geopolitical location : european nations
concept:profession:property_managers	profession : property managers
concept:chemical:plastics	chemical : plastics
concept:visualizablething:losangeles	visualizable thing : losangeles
concept:country:nation	country : nation
concept:island:pakistan	island : pakistan
concept:sportsteam:bucs	sports team : bucs
concept:company:acer_aspire	company : acer aspire
concept:arthropod:centipedes	arthropod : centipedes
concept:coach:nick_saban	coach : nick saban
concept:governmentorganization:services	government organization : services
concept:animal:cavity_nesters	animal : cavity nesters
concept:stateorprovince:mi	state or province : mi
concept:attraction:sounds	attraction : sounds
concept:date:christmas	date : christmas
concept:date:spring	date : spring
concept:river:oconee	river : oconee
concept:city:panama_canal	city : panama canal
concept:disease:birth_defects	disease : birth defects
concept:stadiumoreventvenue:wrigley_field	stadium or event venue : wrigley field
concept:year:n1946	year : n1946
concept:beverage:milk	beverage : milk
concept:mammal:butterfly	mammal : butterfly
concept:musicalbum:four_years	music album : four years
concept:sportsteam:los_angeles_rams	sports team : los angeles rams
concept:televisionstation:wmav_tv	television station : wmav tv
concept:sportsteam:astros	sports team : astros
concept:transportation:train	transportation : train
concept:city:killeen	city : killeen
concept:coach:mike_ditka	coach : mike ditka
concept:awardtrophytournament:stanley_cup	award trophy tournament : stanley cup
concept:beverage:cappuccino	beverage : cappuccino
concept:televisionstation:wbbh_tv	television station : wbbh tv
concept:website:mac	website : mac
concept:musicartist:shows	music artist : shows
concept:mammal:springbok	mammal : springbok
concept:city:forums	city : forums
concept:stadiumoreventvenue:veterans_memorial_stadium	stadium or event venue : veterans memorial stadium
concept:chemical:methane	chemical : methane
concept:televisionstation:wmtv_tv	television station : wmtv tv
concept:comedian:domestic_animals	comedian : domestic animals
concept:city:auburndale	city : auburndale
concept:sportsteam:texas_state_bobcats	sports team : texas state bobcats
concept:mammal:monkeys	mammal : monkeys
concept:sportsteam:washington_nationals	sports team : washington nationals
concept:city:waukesha	city : waukesha
concept:city:bahamas	city : bahamas
concept:radiostation:beaumont	radiostation : beaumont
concept:stateorprovince:utah	state or province : utah
concept:mammal:donkey	mammal : donkey
concept:landscapefeatures:water	landscape features : water
concept:politicaloffice:senate_seat	political office : senate seat
concept:hotel:pullman	hotel : pullman
concept:country:central_african_republic	country : central african republic
concept:mldataset:n2	ml dataset : n2
concept:reptile:giant_green_turtles	reptile : giant green turtles
concept:stadiumoreventvenue:navy_marine_corps_memorial_stadium	stadium or event venue : navy marine corps memorial stadium
concept:disease:patient	disease : patient
concept:profession:household	profession : household
concept:coach:doug_dickey	coach : doug dickey
concept:disease:facial_deformities	disease : facial deformities
concept:celebrity:seton_hall_pirates	celebrity : seton hall pirates
concept:braintissue:sense_organs	brain tissue : sense organs
concept:celebrity:feed	celebrity : feed
concept:animal:hyenas	animal : hyenas
concept:city:taiwan	city : taiwan
concept:insect:wasps	insect : wasps
concept:publication:dow_jones	publication : dow jones
concept:mammal:felines	mammal : felines
concept:wallitem:browser_page	wallitem : browser page
concept:ceo:frederick_smith	ceo : frederick smith
concept:sportsteam:l_a__kings	sports team : l a  kings
concept:televisionstation:biloxi	television station : biloxi
concept:braintissue:salivary_glands	brain tissue : salivary glands
concept:visualizablething:unique_water	visualizable thing : unique water
concept:city:fremont	city : fremont
concept:emotion:open_heart	emotion : open heart
concept:disease:cancer	disease : cancer
concept:bakedgood:pita_bread	baked good : pita bread
concept:academicfield:lubbock	academic field : lubbock
concept:newspaper:texas	newspaper : texas
concept:river:penobscot_river	river : penobscot river
concept:university:ministry	university : ministry
concept:agriculturalproduct:wood	agricultural product : wood
concept:person:don_shula	person : don shula
concept:invertebrate:hedgehogs	invertebrate : hedgehogs
concept:academicfield:databases	academic field : databases
concept:radiostation:laredo	radiostation : laredo
concept:televisionstation:wtmj	television station : wtmj
concept:legume:status	legume : status
concept:plant:red_maple	plant : red maple
concept:company:google_inc	company : google inc
concept:plant:calla_lilies	plant : calla lilies
concept:braintissue:responses	brain tissue : responses
concept:beverage:fruit_juice	beverage : fruit juice
concept:country:pacific_islands	country : pacific islands
concept:insect:carpenter_ants	insect : carpenter ants
concept:televisionstation:kfts	television station : kfts
concept:university:illinois_state	university : illinois state
concept:personmexico:antonio_villaraigosa	person mexico : antonio villaraigosa
concept:date:n1999	date : n1999
concept:university:bowling_green_state	university : bowling green state
concept:stateorprovince:shore	state or province : shore
concept:chemical:greenhouse_gas	chemical : greenhouse gas
concept:tradeunion:comments	trade union : comments
concept:geopoliticallocation:maryland	geopolitical location : maryland
concept:newspaper:journal	newspaper : journal
concept:city:abington	city : abington
concept:landscapefeatures:honeymoon	landscape features : honeymoon
concept:stadiumoreventvenue:rangers_ballpark	stadium or event venue : rangers ballpark
concept:food:baked_potato	food : baked potato
concept:coach:tom_crean	coach : tom crean
concept:automobilemaker:toyota	automobile maker : toyota
concept:planet:seasons	planet : seasons
concept:scientificterm:details_contact	scientific term : details contact
concept:plant:spruce	plant : spruce
concept:sportsteam:washington_bullets	sports team : washington bullets
concept:stateorprovince:washington_state	state or province : washington state
concept:beverage:whole_house_water	beverage : whole house water
concept:sportsteam:maple_leafs	sports team : maple leafs
concept:athlete:john_o_shea	athlete : john o shea
concept:website:newsweek	website : newsweek
concept:website:wbal	website : wbal
concept:publication:times_literary_supplement	publication : times literary supplement
concept:airport:jersey	airport : jersey
concept:month:january	month : january
concept:coach:ara_parseghian	coach : ara parseghian
concept:plant:cottonwoods	plant : cottonwoods
concept:personmexico:luiz_felipe_scolari	person mexico : luiz felipe scolari
concept:website:altavista_com	website : altavista com
concept:disease:disabilities	disease : disabilities
concept:politicianus:candidate_barack_obama	politician us : candidate barack obama
concept:person:oklahoma_state	person : oklahoma state
concept:condiment:wild_mushroom	condiment : wild mushroom
concept:attraction:major_tourist_attraction	attraction : major tourist attraction
concept:animal:house_pets	animal : house pets
concept:eventoutcome:group	event outcome : group
concept:stateorprovince:moravskoslezsky_kraj	state or province : moravskoslezsky kraj
concept:academicfield:information_technology	academic field : information technology
concept:crimeorcharge:traffic_violations	crime or charge : traffic violations
concept:sportsteam:lee_flames	sports team : lee flames
concept:televisionshow:confederate_money	television show : confederate money
concept:chemical:sulphur	chemical : sulphur
concept:planet:water_pipes	planet : water pipes
concept:city:placerville	city : placerville
concept:governmentorganization:results	government organization : results
concept:insect:whiteflies	insect : whiteflies
concept:sportsteam:unlv_runnin_rebels	sports team : unlv runnin rebels
concept:website:wgem	website : wgem
concept:vertebrate:marine_mammals	vertebrate : marine mammals
concept:coach:stanford_cardinal	coach : stanford cardinal
concept:vertebrate:skunks	vertebrate : skunks
concept:televisionstation:wpba	television station : wpba
concept:attraction:fun	attraction : fun
concept:visualizableattribute:various_water	visualizable attribute : various water
concept:artery:main_artery	artery : main artery
concept:disease:conduct_disorders	disease : conduct disorders
concept:plant:chrysanthemums	plant : chrysanthemums
concept:skiarea:erie_canal	ski area : erie canal
concept:currency:pesos	currency : pesos
concept:stateorprovince:southern_alberta	state or province : southern alberta
concept:disease:autism_spectrum_disorder	disease : autism spectrum disorder
concept:website:adobe_	website : adobe 
concept:disease:hiv_aids_pandemic	disease : hiv aids pandemic
concept:chemical:dioxygen	chemical : dioxygen
concept:coach:jamey_wright	coach : jamey wright
concept:coach:mark_dantonio	coach : mark dantonio
concept:city:colbert	city : colbert
concept:company:charleston	company : charleston
concept:county:music_college	county : music college
concept:country:zambia	country : zambia
concept:company:bbc	company : bbc
concept:terroristorganization:hamas	terrorist organization : hamas
concept:mammal:possums	mammal : possums
concept:bakedgood:appetizers	baked good : appetizers
concept:disease:hpv	disease : hpv
concept:beach:gainesville	beach : gainesville
concept:arthropod:butterfly_species	arthropod : butterfly species
concept:plant:coconut_trees	plant : coconut trees
concept:grain:performance	grain : performance
concept:date:n1894	date : n1894
concept:programminglanguage:process	programming language : process
concept:country:emergency	country : emergency
concept:city:videos	city : videos
concept:company:the_new_york_times001	company : the new york times001
concept:visualizablething:water_supply_system	visualizable thing : water supply system
concept:person:ter_petrosyan	person : ter petrosyan
concept:sportsteam:south_florida_bulls	sports team : south florida bulls
concept:arthropod:zooplankton	arthropod : zooplankton
concept:stadiumoreventvenue:hammerstein_ballroom	stadium or event venue : hammerstein ballroom
concept:year:n1868	year : n1868
concept:musicalbum:stage	music album : stage
concept:newspaper:the_san_francisco_examiner	newspaper : the san francisco examiner
concept:city:se	city : se
concept:geopoliticallocation:holland	geopolitical location : holland
concept:vegetable:virgin_olive_oil	vegetable : virgin olive oil
concept:island:allen	island : allen
concept:plant:crepe_myrtles	plant : crepe myrtles
concept:coach:richard_hamilton	coach : richard hamilton
concept:plant:evergreen_trees	plant : evergreen trees
concept:weatherphenomenon:winter	weather phenomenon : winter
concept:building:bc_place	building : bc place
concept:city:bayonne	city : bayonne
concept:bodypart:soft_tissues	bodypart : soft tissues
concept:coach:mcmackin	coach : mcmackin
concept:nongovorganization:committees	nongov organization : committees
concept:coach:joe_novak	coach : joe novak
concept:sportsgame:terms	sportsgame : terms
concept:year:n1890	year : n1890
concept:musicfestival:way	music festival : way
concept:crimeorcharge:child_molestation	crime or charge : child molestation
concept:visualizablething:naples	visualizable thing : naples
concept:disease:asperger_s_syndrome	disease : asperger s syndrome
concept:plant:hollies	plant : hollies
concept:crimeorcharge:drug_offenses	crime or charge : drug offenses
concept:country:croatia	country : croatia
concept:landscapefeatures:green_pastures	landscape features : green pastures
concept:animal:dolphins001	animal : dolphins001
concept:mammal:mammoths	mammal : mammoths
concept:televisionstation:wtwc_tv	television station : wtwc tv
concept:county:austin	county : austin
concept:hallwayitem:pool	hallway item : pool
concept:city:sheboygan	city : sheboygan
concept:river:architecture	river : architecture
concept:scientificterm:information_call	scientific term : information call
concept:city:des_moines	city : des moines
concept:date:n2001	date : n2001
concept:city:chestnut_hill	city : chestnut hill
concept:building:amsterdam	building : amsterdam
concept:agriculturalproduct:goats	agricultural product : goats
concept:city:friend	city : friend
concept:person:taylor	person : taylor
concept:company:khvo	company : khvo
concept:governmentorganization:agency_officials	government organization : agency officials
concept:automobilemaker:saab	automobile maker : saab
concept:person:gonzalez	person : gonzalez
concept:city:sarasota	city : sarasota
concept:chemical:combustion_byproducts	chemical : combustion byproducts
concept:dateliteral:n1931	date literal : n1931
concept:stadiumoreventvenue:ice_palace	stadium or event venue : ice palace
concept:agriculturalproduct:red_pepper	agricultural product : red pepper
concept:buildingfeature:storm	building feature : storm
concept:city:gulfport	city : gulfport
concept:musicartist:health	music artist : health
concept:sportsequipment:officials	sports equipment : officials
concept:meat:ribs	meat : ribs
concept:personmexico:stewart	person mexico : stewart
concept:city:foothill_ranch	city : foothill ranch
concept:governmentorganization:u_s__congress	government organization : u s  congress
concept:country:monaco	country : monaco
concept:chemical:ammonia	chemical : ammonia
concept:attraction:press	attraction : press
concept:beverage:electronic_air	beverage : electronic air
concept:park:charlestown	park : charlestown
concept:jobposition:candidate	job position : candidate
concept:company:new_republic	company : new republic
concept:sportsteam:sounders_fc	sports team : sounders fc
concept:meat:biscuit	meat : biscuit
concept:programminglanguage:doubleclick	programming language : doubleclick
concept:sport:golf	sport : golf
concept:chemical:precipitation	chemical : precipitation
concept:city:blanchard	city : blanchard
concept:city:san_marcos	city : san marcos
concept:city:beijing	city : beijing
concept:food:french_fries	food : french fries
concept:geopoliticallocation:donors	geopolitical location : donors
concept:journalist:shepard_smith	journalist : shepard smith
concept:city:woodland_hills	city : woodland hills
concept:sportsteam:central_florida_knights	sports team : central florida knights
concept:building:libraries	building : libraries
concept:personcanada:shop	person canada : shop
concept:room:newport	room : newport
concept:city:amador_city	city : amador city
concept:fish:marlin	fish : marlin
concept:sportsteam:cleveland_indians	sports team : cleveland indians
concept:governmentorganization:fbi	government organization : fbi
concept:coach:cleveland_browns	coach : cleveland browns
concept:river:klickitat	river : klickitat
concept:university:wvu	university : wvu
concept:aquarium:whole_world	aquarium : whole world
concept:coach:raheem_morris	coach : raheem morris
concept:coach:scott_linehan	coach : scott linehan
concept:sportsteam:carolina	sports team : carolina
concept:person:thompson	person : thompson
concept:governmentorganization:fox_news	government organization : fox news
concept:city:greenville	city : greenville
concept:landscapefeatures:zone	landscape features : zone
concept:skiarea:choptank	ski area : choptank
concept:website:ksat_tv	website : ksat tv
concept:televisionstation:wsaw	television station : wsaw
concept:city:santa_clara	city : santa clara
concept:winery:home_state	winery : home state
concept:sportsteam:utah_jazz	sports team : utah jazz
concept:year:n1956	year : n1956
concept:city:detroit	city : detroit
concept:crustacean:fiddler_crab	crustacean : fiddler crab
concept:retailstore:ebay	retail store : ebay
concept:animal:bulls	animal : bulls
concept:sportsgame:records	sportsgame : records
concept:coach:randy_edsall	coach : randy edsall
concept:condiment:honey_mustard	condiment : honey mustard
concept:stadiumoreventvenue:tiger_stadium	stadium or event venue : tiger stadium
concept:personus:candidates_john_mccain	personus : candidates john mccain
concept:website:new_york_times_a	website : new york times a
concept:city:marysville	city : marysville
concept:stadiumoreventvenue:fenway_park	stadium or event venue : fenway park
concept:governmentorganization:us_department	government organization : us department
concept:musicalbum:three	music album : three
concept:condiment:teriyaki_glaze	condiment : teriyaki glaze
concept:stadiumoreventvenue:the_regency_ballroom	stadium or event venue : the regency ballroom
concept:animal:carnivores	animal : carnivores
concept:website:the_nation	website : the nation
concept:coach:brett_lee	coach : brett lee
concept:bodypart:thymus	bodypart : thymus
concept:muscle:muscle_tissue	muscle : muscle tissue
concept:mammal:chimpanzees	mammal : chimpanzees
concept:condiment:cocktail_sauce	condiment : cocktail sauce
concept:country:eu_member_states	country : eu member states
